# Size	Threads	Serial_Time	Parallel_Time	Speedup
20000	1	2.45706	2.79841	0.878019
20000	2	2.45706	1.46669	1.67524
20000	4	2.45706	0.734531	3.34507
20000	7	2.45706	0.438511	5.60318
20000	8	2.45706	0.361893	6.78945
20000	16	2.45706	0.199125	12.3393
20000	20	2.45706	0.1733	14.1781
20000	40	2.45706	0.179142	13.7157
40000	1	9.74901	12.4474	0.783215
40000	2	9.74901	6.12894	1.59065
40000	4	9.74901	3.12864	3.11605
40000	7	9.74901	1.823	5.34779
40000	8	9.74901	1.49201	6.53414
40000	16	9.74901	0.823656	11.8363
40000	20	9.74901	0.675634	14.4294
40000	40	9.74901	0.65773	14.8222
